Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Goats,AnteMortem,Abnormal Respiratory Signs,2019-04,England,3,1612,60,0.186
Goats,AnteMortem,Abnormal Respiratory Signs,2019-05,England,3,1546,64,0.194
Goats,AnteMortem,Abnormal Respiratory Signs,2019-06,England,1,1553,68,0.064
Goats,AnteMortem,Abnormal Swelling (e.g. Bloat),2019-04,England,2,1612,60,0.124
Goats,AnteMortem,Abnormal Swelling (e.g. Bloat),2019-05,England,1,1546,64,0.065
Goats,AnteMortem,Emaciation,2019-04,England,3,1612,60,0.186
Goats,AnteMortem,Lameness - Foot Lesion(s),2019-04,England,1,1612,60,0.062
Goats,AnteMortem,Lameness - Foot Lesion(s),2019-05,England,2,1546,64,0.129
Goats,AnteMortem,Lameness - Foot Lesion(s),2019-06,England,2,1553,68,0.129
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2019-04,England,1,1612,60,0.062
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2019-05,England,2,1546,64,0.129
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2019-06,England,1,1553,68,0.064
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2019-05,Wales,2,48,7,4.167
Goats,AnteMortem,Lameness - Not Defined,2019-04,England,1,1612,60,0.062
Goats,AnteMortem,Lameness - Not Defined,2019-05,England,4,1546,64,0.259
Goats,AnteMortem,Lameness - Not Defined,2019-06,England,1,1553,68,0.064
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2019-04,England,6,1612,60,0.372
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2019-05,England,5,1546,64,0.323
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2019-06,England,8,1553,68,0.515
Goats,AnteMortem,Mastitis,2019-04,England,1,1612,60,0.062
Goats,AnteMortem,Mastitis,2019-06,England,3,1553,68,0.193
Goats,AnteMortem,Other *,2019-06,England,1,1553,68,0.064
Goats,AnteMortem,Skin Condition,2019-04,England,1,1612,60,0.062
Goats,AnteMortem,Skin Condition,2019-05,England,2,1546,64,0.129
Goats,Carcase,Abscess Forequarters,2019-04,England,32,1612,60,1.985
Goats,Carcase,Abscess Forequarters,2019-05,England,41,1546,64,2.652
Goats,Carcase,Abscess Forequarters,2019-06,England,64,1553,68,4.121
Goats,Carcase,Abscess Hindquarters,2019-04,England,7,1612,60,0.434
Goats,Carcase,Abscess Hindquarters,2019-05,England,18,1546,64,1.164
Goats,Carcase,Abscess Hindquarters,2019-06,England,6,1553,68,0.386
Goats,Carcase,Abscess Hindquarters,2019-05,Wales,1,48,7,2.083
Goats,Carcase,Abscess Neck,2019-04,England,28,1612,60,1.737
Goats,Carcase,Abscess Neck,2019-05,England,10,1546,64,0.647
Goats,Carcase,Abscess Neck,2019-06,England,8,1553,68,0.515
Goats,Carcase,Bruising – Wool Pull,2019-05,England,1,1546,64,0.065
Goats,Carcase,Contamination,2019-04,England,10,1612,60,0.62
Goats,Carcase,Contamination,2019-05,England,15,1546,64,0.97
Goats,Carcase,Contamination,2019-06,England,43,1553,68,2.769
Goats,Carcase,Cysticercus ovis (Carcase),2019-05,England,6,1546,64,0.388
Goats,Carcase,Cysticercus ovis (Carcase),2019-06,England,1,1553,68,0.064
Goats,Carcase,Joint Lesions,2019-04,England,3,1612,60,0.186
Goats,Carcase,Joint Lesions,2019-05,England,17,1546,64,1.1
Goats,Carcase,Joint Lesions,2019-06,England,18,1553,68,1.159
Goats,Carcase,Other,2019-04,England,8,1612,60,0.496
Goats,Carcase,Other,2019-05,England,3,1546,64,0.194
Goats,Carcase,Other,2019-06,England,12,1553,68,0.773
Goats,Offal,Contamination,2019-04,England,15,1612,60,0.931
Goats,Offal,Contamination,2019-05,England,23,1546,64,1.488
Goats,Offal,Contamination,2019-06,England,21,1553,68,1.352
Goats,Offal,Cysticercus ovis (Offal),2019-05,England,1,1546,64,0.065
Goats,Offal,Cysticercus ovis (Offal),2019-05,Wales,1,48,7,2.083
Goats,Offal,Cysticercus tenuicollis,2019-04,England,44,1612,60,2.73
Goats,Offal,Cysticercus tenuicollis,2019-05,England,36,1546,64,2.329
Goats,Offal,Cysticercus tenuicollis,2019-06,England,49,1553,68,3.155
Goats,Offal,Cysticercus tenuicollis,2019-04,Wales,1,60,7,1.667
