???Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Sheep,Carcase,Joint Lesions,2020-06,Wales,690,226854,16,0.304
Sheep,Carcase,Other,2020-04,England,6680,686671,125,0.973
Sheep,Carcase,Other,2020-05,England,5435,712039,126,0.763
Sheep,Carcase,Other,2020-06,England,4362,797985,124,0.547
Sheep,Carcase,Other,2020-04,Wales,2037,160060,16,1.273
Sheep,Carcase,Other,2020-05,Wales,1637,165979,16,0.986
Sheep,Carcase,Other,2020-06,Wales,1376,226854,16,0.607
Sheep,Offal,Contamination,2020-04,England,7271,686671,125,1.059
Sheep,Offal,Contamination,2020-05,England,8082,712039,126,1.135
Sheep,Offal,Contamination,2020-06,England,8728,797985,124,1.094
Sheep,Offal,Contamination,2020-04,Wales,1572,160060,16,0.982
Sheep,Offal,Contamination,2020-05,Wales,1924,165979,16,1.159
Sheep,Offal,Contamination,2020-06,Wales,2293,226854,16,1.011
Sheep,Offal,Cysticercus ovis (Offal),2020-04,England,4715,686671,125,0.687
Sheep,Offal,Cysticercus ovis (Offal),2020-05,England,4135,712039,126,0.581
Sheep,Offal,Cysticercus ovis (Offal),2020-06,England,3311,797985,124,0.415
Sheep,Offal,Cysticercus ovis (Offal),2020-04,Wales,1935,160060,16,1.209
Sheep,Offal,Cysticercus ovis (Offal),2020-05,Wales,1061,165979,16,0.639
Sheep,Offal,Cysticercus ovis (Offal),2020-06,Wales,650,226854,16,0.287
Sheep,Offal,Cysticercus tenuicollis,2020-04,England,68440,686671,125,9.967
Sheep,Offal,Cysticercus tenuicollis,2020-05,England,55877,712039,126,7.847
Sheep,Offal,Cysticercus tenuicollis,2020-06,England,48043,797985,124,6.021
Sheep,Offal,Cysticercus tenuicollis,2020-04,Wales,21801,160060,16,13.621
Sheep,Offal,Cysticercus tenuicollis,2020-05,Wales,18291,165979,16,11.02
Sheep,Offal,Cysticercus tenuicollis,2020-06,Wales,17429,226854,16,7.683
Sheep,Offal,Fluke Immature,2020-04,England,7520,686671,125,1.095
Sheep,Offal,Fluke Immature,2020-05,England,9145,712039,126,1.284
Sheep,Offal,Fluke Immature,2020-06,England,7638,797985,124,0.957
Sheep,Offal,Fluke Immature,2020-04,Wales,436,160060,16,0.272
Sheep,Offal,Fluke Immature,2020-05,Wales,182,165979,16,0.11
Sheep,Offal,Fluke Immature,2020-06,Wales,167,226854,16,0.074
Sheep,Offal,Fluke Mature,2020-04,England,33649,686671,125,4.9
Sheep,Offal,Fluke Mature,2020-05,England,29531,712039,126,4.147
Sheep,Offal,Fluke Mature,2020-06,England,22407,797985,124,2.808
Sheep,Offal,Fluke Mature,2020-04,Wales,7589,160060,16,4.741
Sheep,Offal,Fluke Mature,2020-05,Wales,6724,165979,16,4.051
Sheep,Offal,Fluke Mature,2020-06,Wales,4763,226854,16,2.1
Sheep,Offal,Historic Liver Scarring,2020-04,England,3513,686671,125,0.512
Sheep,Offal,Historic Liver Scarring,2020-05,England,3616,712039,126,0.508
