Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Sheep,Offal,Contamination,2018-02,England,7059,673438,144,1.048
Sheep,Offal,Contamination,2018-03,England,7040,755570,145,0.932
Sheep,Offal,Contamination,2018-01,Wales,6613,238985,19,2.767
Sheep,Offal,Contamination,2018-02,Wales,2765,200877,19,1.376
Sheep,Offal,Contamination,2018-03,Wales,5157,224385,19,2.298
Sheep,Offal,Cysticercus bovis,2018-01,Wales,10,238985,19,0.004
Sheep,Offal,Cysticercus ovis (Offal),2018-01,England,5380,744749,146,0.722
Sheep,Offal,Cysticercus ovis (Offal),2018-02,England,5220,673438,144,0.775
Sheep,Offal,Cysticercus ovis (Offal),2018-03,England,6045,755570,145,0.8
Sheep,Offal,Cysticercus ovis (Offal),2018-01,Wales,2207,238985,19,0.923
Sheep,Offal,Cysticercus ovis (Offal),2018-02,Wales,1710,200877,19,0.851
Sheep,Offal,Cysticercus ovis (Offal),2018-03,Wales,2709,224385,19,1.207
Sheep,Offal,Cysticercus tenuicollis,2018-01,England,66048,744749,146,8.868
Sheep,Offal,Cysticercus tenuicollis,2018-02,England,64257,673438,144,9.542
Sheep,Offal,Cysticercus tenuicollis,2018-03,England,71453,755570,145,9.457
Sheep,Offal,Cysticercus tenuicollis,2018-01,Wales,30888,238985,19,12.925
Sheep,Offal,Cysticercus tenuicollis,2018-02,Wales,22257,200877,19,11.08
Sheep,Offal,Cysticercus tenuicollis,2018-03,Wales,32320,224385,19,14.404
Sheep,Offal,Fluke Immature,2018-01,England,11497,744749,146,1.544
Sheep,Offal,Fluke Immature,2018-02,England,10580,673438,144,1.571
Sheep,Offal,Fluke Immature,2018-03,England,11759,755570,145,1.556
Sheep,Offal,Fluke Immature,2018-01,Wales,731,238985,19,0.306
Sheep,Offal,Fluke Immature,2018-02,Wales,1077,200877,19,0.536
Sheep,Offal,Fluke Immature,2018-03,Wales,1424,224385,19,0.635
Sheep,Offal,Fluke Mature,2018-01,England,59391,744749,146,7.975
Sheep,Offal,Fluke Mature,2018-02,England,59472,673438,144,8.831
Sheep,Offal,Fluke Mature,2018-03,England,66810,755570,145,8.842
Sheep,Offal,Fluke Mature,2018-01,Wales,24033,238985,19,10.056
Sheep,Offal,Fluke Mature,2018-02,Wales,23009,200877,19,11.454
Sheep,Offal,Fluke Mature,2018-03,Wales,28150,224385,19,12.545
Sheep,Offal,Hepatic Scarring,2018-01,England,2,744749,146,0
Sheep,Offal,Historic Liver Scarring,2018-01,England,4477,744749,146,0.601
Sheep,Offal,Historic Liver Scarring,2018-02,England,4094,673438,144,0.608
Sheep,Offal,Historic Liver Scarring,2018-03,England,5334,755570,145,0.706
Sheep,Offal,Historic Liver Scarring,2018-01,Wales,330,238985,19,0.138
Sheep,Offal,Historic Liver Scarring,2018-02,Wales,382,200877,19,0.19
Sheep,Offal,Historic Liver Scarring,2018-03,Wales,162,224385,19,0.072
Sheep,Offal,Hydatid Cyst,2018-01,England,1814,744749,146,0.244
Sheep,Offal,Hydatid Cyst,2018-02,England,2206,673438,144,0.328
Sheep,Offal,Hydatid Cyst,2018-03,England,1908,755570,145,0.253
Sheep,Offal,Hydatid Cyst,2018-01,Wales,75,238985,19,0.031
Sheep,Offal,Hydatid Cyst,2018-02,Wales,56,200877,19,0.028
Sheep,Offal,Hydatid Cyst,2018-03,Wales,93,224385,19,0.041
Sheep,Offal,Hydatid Cysts,2018-02,England,30,673438,144,0.004
Sheep,Offal,Hydatid Cysts,2018-01,Wales,2,238985,19,0.001
Sheep,Offal,Liver Abscesses,2018-01,Wales,1,238985,19,0
Sheep,Offal,Lung Abscesses,2018-01,England,4987,744749,146,0.67
Sheep,Offal,Lung Abscesses,2018-02,England,3861,673438,144,0.573
Sheep,Offal,Lung Abscesses,2018-03,England,4382,755570,145,0.58
Sheep,Offal,Lung Abscesses,2018-01,Wales,1728,238985,19,0.723
Sheep,Offal,Lung Abscesses,2018-02,Wales,1031,200877,19,0.513
Sheep,Offal,Lung Abscesses,2018-03,Wales,715,224385,19,0.319
Sheep,Offal,Lung Worm ,2018-01,England,31179,744749,146,4.187
Sheep,Offal,Lung Worm ,2018-02,England,27866,673438,144,4.138
Sheep,Offal,Lung Worm ,2018-03,England,29964,755570,145,3.966
Sheep,Offal,Lung Worm ,2018-01,Wales,20054,238985,19,8.391
Sheep,Offal,Lung Worm ,2018-02,Wales,12635,200877,19,6.29
Sheep,Offal,Lung Worm ,2018-03,Wales,11979,224385,19,5.339
Sheep,Offal,Lungworm,2018-01,England,3,744749,146,0
Sheep,Offal,Lungworm,2018-02,England,6,673438,144,0.001
Sheep,Offal,Lungworm,2018-03,England,16,755570,145,0.002
Sheep,Offal,Lungworm,2018-01,Wales,1,238985,19,0
Sheep,Offal,Other,2018-01,England,7194,744749,146,0.966
