Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Sheep,Offal,Cysticercus ovis (Offal),2018-12,Wales,1974,313444,16,0.63
Sheep,Offal,Cysticercus tenuicollis,2018-10,England,49640,843312,139,5.886
Sheep,Offal,Cysticercus tenuicollis,2018-11,England,53695,792866,139,6.772
Sheep,Offal,Cysticercus tenuicollis,2018-12,England,57753,791513,136,7.297
Sheep,Offal,Cysticercus tenuicollis,2018-10,Wales,15431,377012,19,4.093
Sheep,Offal,Cysticercus tenuicollis,2018-11,Wales,17991,353973,17,5.083
Sheep,Offal,Cysticercus tenuicollis,2018-12,Wales,17400,313444,16,5.551
Sheep,Offal,Fluke Immature,2018-10,England,8689,843312,139,1.03
Sheep,Offal,Fluke Immature,2018-11,England,8102,792866,139,1.022
Sheep,Offal,Fluke Immature,2018-12,England,8718,791513,136,1.101
Sheep,Offal,Fluke Immature,2018-10,Wales,201,377012,19,0.053
Sheep,Offal,Fluke Immature,2018-11,Wales,832,353973,17,0.235
Sheep,Offal,Fluke Immature,2018-12,Wales,387,313444,16,0.123
Sheep,Offal,Fluke Mature,2018-10,England,38288,843312,139,4.54
Sheep,Offal,Fluke Mature,2018-11,England,36826,792866,139,4.645
Sheep,Offal,Fluke Mature,2018-12,England,42615,791513,136,5.384
Sheep,Offal,Fluke Mature,2018-10,Wales,10983,377012,19,2.913
Sheep,Offal,Fluke Mature,2018-11,Wales,11537,353973,17,3.259
Sheep,Offal,Fluke Mature,2018-12,Wales,12980,313444,16,4.141
Sheep,Offal,Historic Liver Scarring,2018-10,England,3344,843312,139,0.397
Sheep,Offal,Historic Liver Scarring,2018-11,England,3061,792866,139,0.386
Sheep,Offal,Historic Liver Scarring,2018-12,England,2552,791513,136,0.322
Sheep,Offal,Historic Liver Scarring,2018-10,Wales,154,377012,19,0.041
Sheep,Offal,Historic Liver Scarring,2018-11,Wales,195,353973,17,0.055
Sheep,Offal,Historic Liver Scarring,2018-12,Wales,210,313444,16,0.067
Sheep,Offal,Hydatid Cyst,2018-10,England,1839,843312,139,0.218
Sheep,Offal,Hydatid Cyst,2018-11,England,2174,792866,139,0.274
Sheep,Offal,Hydatid Cyst,2018-12,England,1628,791513,136,0.206
Sheep,Offal,Hydatid Cyst,2018-10,Wales,143,377012,19,0.038
Sheep,Offal,Hydatid Cyst,2018-11,Wales,220,353973,17,0.062
Sheep,Offal,Hydatid Cyst,2018-12,Wales,135,313444,16,0.043
Sheep,Offal,Lung Abscesses,2018-10,England,5871,843312,139,0.696
Sheep,Offal,Lung Abscesses,2018-11,England,4034,792866,139,0.509
Sheep,Offal,Lung Abscesses,2018-12,England,4143,791513,136,0.523
Sheep,Offal,Lung Abscesses,2018-10,Wales,2598,377012,19,0.689
Sheep,Offal,Lung Abscesses,2018-11,Wales,3042,353973,17,0.859
Sheep,Offal,Lung Abscesses,2018-12,Wales,1854,313444,16,0.591
Sheep,Offal,Lung Worm ,2018-10,England,35387,843312,139,4.196
Sheep,Offal,Lung Worm ,2018-11,England,32609,792866,139,4.113
Sheep,Offal,Lung Worm ,2018-12,England,30198,791513,136,3.815
Sheep,Offal,Lung Worm ,2018-10,Wales,10453,377012,19,2.773
Sheep,Offal,Lung Worm ,2018-11,Wales,10607,353973,17,2.997
Sheep,Offal,Lung Worm ,2018-12,Wales,10969,313444,16,3.5
Sheep,Offal,Lungworm,2018-11,England,2,792866,139,0
Sheep,Offal,Other,2018-10,England,6905,843312,139,0.819
Sheep,Offal,Other,2018-11,England,7112,792866,139,0.897
Sheep,Offal,Other,2018-12,England,6705,791513,136,0.847
Sheep,Offal,Other,2018-10,Wales,2482,377012,19,0.658
Sheep,Offal,Other,2018-11,Wales,2230,353973,17,0.63
Sheep,Offal,Other,2018-12,Wales,1705,313444,16,0.544
Sheep,Offal,Pneumonia,2018-10,England,1,843312,139,0
Sheep,Offal,Pneumonia,2018-11,England,6,792866,139,0.001
Sheep,Offal,Pneumonia Mycoplasma Like,2018-10,England,26150,843312,139,3.101
Sheep,Offal,Pneumonia Mycoplasma Like,2018-11,England,21101,792866,139,2.661
Sheep,Offal,Pneumonia Mycoplasma Like,2018-12,England,20338,791513,136,2.57
Sheep,Offal,Pneumonia Mycoplasma Like,2018-10,Wales,15329,377012,19,4.066
Sheep,Offal,Pneumonia Mycoplasma Like,2018-11,Wales,13066,353973,17,3.691
Sheep,Offal,Pneumonia Mycoplasma Like,2018-12,Wales,10768,313444,16,3.435
Sheep,Offal,Pneumonia Pasteurella Like,2018-10,England,12506,843312,139,1.483
Sheep,Offal,Pneumonia Pasteurella Like,2018-11,England,10046,792866,139,1.267
Sheep,Offal,Pneumonia Pasteurella Like,2018-12,England,12021,791513,136,1.519
Sheep,Offal,Pneumonia Pasteurella Like,2018-10,Wales,2492,377012,19,0.661
Sheep,Offal,Pneumonia Pasteurella Like,2018-11,Wales,2539,353973,17,0.717
Sheep,Offal,Pneumonia Pasteurella Like,2018-12,Wales,1719,313444,16,0.548
Sheep,Total Rejection,Contamination,2018-10,England,21,843312,139,0.002
Sheep,Total Rejection,Contamination,2018-11,England,22,792866,139,0.003
Sheep,Total Rejection,Contamination,2018-12,England,27,791513,136,0.003
Sheep,Total Rejection,Contamination,2018-10,Wales,2,377012,19,0.001
Sheep,Total Rejection,Contamination,2018-11,Wales,3,353973,17,0.001
Sheep,Total Rejection,Contamination,2018-12,Wales,5,313444,16,0.002
Sheep,Total Rejection,Cysticercus ovis (Generalised),2018-10,England,131,843312,139,0.016
Sheep,Total Rejection,Cysticercus ovis (Generalised),2018-11,England,162,792866,139,0.02
Sheep,Total Rejection,Cysticercus ovis (Generalised),2018-12,England,243,791513,136,0.031
Sheep,Total Rejection,Cysticercus ovis (Generalised),2018-10,Wales,57,377012,19,0.015
Sheep,Total Rejection,Cysticercus ovis (Generalised),2018-11,Wales,75,353973,17,0.021
Sheep,Total Rejection,Cysticercus ovis (Generalised),2018-12,Wales,110,313444,16,0.035
Sheep,Total Rejection,Emaciation/Generalised Oedema,2018-10,England,326,843312,139,0.039
Sheep,Total Rejection,Emaciation/Generalised Oedema,2018-11,England,310,792866,139,0.039
Sheep,Total Rejection,Emaciation/Generalised Oedema,2018-12,England,263,791513,136,0.033
Sheep,Total Rejection,Emaciation/Generalised Oedema,2018-10,Wales,26,377012,19,0.007
Sheep,Total Rejection,Emaciation/Generalised Oedema,2018-11,Wales,15,353973,17,0.004
Sheep,Total Rejection,Emaciation/Generalised Oedema,2018-12,Wales,24,313444,16,0.008
Sheep,Total Rejection,Generalised Tuberculosis (Suspect),2018-10,England,1,843312,139,0
Sheep,Total Rejection,Generalised Tuberculosis (Suspect),2018-11,England,1,792866,139,0
Sheep,Total Rejection,Jaundice,2018-10,England,8,843312,139,0.001
Sheep,Total Rejection,Jaundice,2018-11,England,13,792866,139,0.002
Sheep,Total Rejection,Jaundice,2018-12,England,16,791513,136,0.002
Sheep,Total Rejection,Jaundice,2018-10,Wales,1,377012,19,0
Sheep,Total Rejection,Jaundice,2018-12,Wales,2,313444,16,0.001
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2018-10,England,139,843312,139,0.016
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2018-11,England,134,792866,139,0.017
Sheep,Total Rejection,Multiple Abscesses/Pyaemia,2018-12,England,176,791513,136,0.022
