Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Goats,AnteMortem,Abnormal Respiratory Signs,2019-10,England,13,1795,64,0.724
Goats,AnteMortem,Abnormal Respiratory Signs,2019-10,England,1,1795,64,0.056
Goats,AnteMortem,Abnormal Respiratory Signs,2019-11,England,4,1490,65,0.268
Goats,AnteMortem,Abnormal Respiratory Signs,2019-12,England,4,1362,59,0.294
Goats,AnteMortem,Emaciation,2019-11,England,2,1490,65,0.134
Goats,AnteMortem,Emaciation,2019-12,England,1,1362,59,0.073
Goats,AnteMortem,Eye Condition,2019-10,England,4,1795,64,0.223
Goats,AnteMortem,Eye Condition,2019-11,England,7,1490,65,0.47
Goats,AnteMortem,Eye Condition,2019-12,England,2,1362,59,0.147
Goats,AnteMortem,Lameness - Foot Lesion(s),2019-10,England,4,1795,64,0.223
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2019-10,England,2,1795,64,0.111
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2019-11,England,5,1490,65,0.336
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2019-12,England,4,1362,59,0.294
Goats,AnteMortem,Lameness - Not Defined,2019-10,England,3,1795,64,0.167
Goats,AnteMortem,Lameness - Not Defined,2019-11,England,5,1490,65,0.336
Goats,AnteMortem,Lameness - Not Defined,2019-12,England,5,1362,59,0.367
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2019-10,England,6,1795,64,0.334
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2019-11,England,4,1490,65,0.268
Goats,AnteMortem,Mastitis,2019-10,England,4,1795,64,0.223
Goats,AnteMortem,Mastitis,2019-11,England,2,1490,65,0.134
Goats,AnteMortem,Prolapsed,2019-12,England,1,1362,59,0.073
Goats,AnteMortem,Skin Condition,2019-10,England,1,1795,64,0.056
Goats,AnteMortem,Slaughtered in Lairage,2019-12,England,1,1362,59,0.073
Goats,AnteMortem,Trauma - Soft Tissue,2019-11,England,1,1490,65,0.067
Goats,Carcase,Abscess Forequarters,2019-10,England,67,1795,64,3.733
Goats,Carcase,Abscess Forequarters,2019-11,England,33,1490,65,2.215
Goats,Carcase,Abscess Forequarters,2019-12,England,32,1362,59,2.349
